Month	Date	Candidate	Volume	Emotion
3/12/2016	3/12/2016	Clinton	55	Sadness
3/15/2016	3/15/2016	Clinton	1243	Sadness
3/22/2016	3/22/2016	Clinton	631	Sadness
3/26/2016	3/26/2016	Clinton	436	Sadness
4/5/2016	4/5/2016	Clinton	974	Sadness
4/9/2016	4/9/2016	Clinton	431	Sadness
4/19/2016	4/19/2016	Clinton	600	Sadness
4/26/2016	4/26/2016	Clinton	533	Sadness
5/3/2016	5/3/2016	Clinton	560	Sadness
2/9/2016	2/9/2016	Sanders	473	Sadness
2/20/2016	2/20/2016	Sanders	436	Sadness
2/23/2016	2/23/2016	Sanders	482	Sadness
2/27/2016	2/27/2016	Sanders	658	Sadness
3/1/2016	3/1/2016	Sanders	1943	Sadness
3/5/2016	3/5/2016	Sanders	677	Sadness
3/6/2016	3/6/2016	Sanders	738	Sadness
3/8/2016	3/8/2016	Sanders	1020	Sadness
3/12/2016	3/12/2016	Sanders	43	Sadness
3/15/2016	3/15/2016	Sanders	1188	Sadness
3/22/2016	3/22/2016	Sanders	919	Sadness
3/26/2016	3/26/2016	Sanders	548	Sadness
4/5/2016	4/5/2016	Sanders	977	Sadness
4/9/2016	4/9/2016	Sanders	534	Sadness
4/19/2016	4/19/2016	Sanders	1601	Sadness
4/26/2016	4/26/2016	Sanders	735	Sadness
5/3/2016	5/3/2016	Sanders	419	Sadness
2/9/2016	2/9/2016	Clinton	1536	Trust
2/20/2016	2/20/2016	Clinton	1954	Trust
2/23/2016	2/23/2016	Clinton	1140	Trust
2/27/2016	2/27/2016	Clinton	1771	Trust
3/1/2016	3/1/2016	Clinton	1934	Trust
3/5/2016	3/5/2016	Clinton	1804	Trust
3/6/2016	3/6/2016	Clinton	1572	Trust
3/8/2016	3/8/2016	Clinton	1747	Trust
3/12/2016	3/12/2016	Clinton	84	Trust
3/15/2016	3/15/2016	Clinton	1812	Trust
3/22/2016	3/22/2016	Clinton	1770	Trust
3/26/2016	3/26/2016	Clinton	1089	Trust
4/5/2016	4/5/2016	Clinton	3022	Trust
4/9/2016	4/9/2016	Clinton	2589	Trust
4/19/2016	4/19/2016	Clinton	2074	Trust
4/26/2016	4/26/2016	Clinton	2052	Trust
5/3/2016	5/3/2016	Clinton	1507	Trust
2/9/2016	2/9/2016	Sanders	1913	Trust
2/20/2016	2/20/2016	Sanders	1558	Trust
2/23/2016	2/23/2016	Sanders	1222	Trust
2/27/2016	2/27/2016	Sanders	2328	Trust
3/1/2016	3/1/2016	Sanders	3161	Trust
3/5/2016	3/5/2016	Sanders	1733	Trust
3/6/2016	3/6/2016	Sanders	2351	Trust
3/8/2016	3/8/2016	Sanders	2442	Trust
3/12/2016	3/12/2016	Sanders	179	Trust
3/15/2016	3/15/2016	Sanders	2918	Trust
3/22/2016	3/22/2016	Sanders	1978	Trust
3/26/2016	3/26/2016	Sanders	2408	Trust
4/5/2016	4/5/2016	Sanders	3188	Trust
4/9/2016	4/9/2016	Sanders	1684	Trust
4/19/2016	4/19/2016	Sanders	3870	Trust
4/26/2016	4/26/2016	Sanders	1886	Trust
5/3/2016	5/3/2016	Sanders	1111	Trust
