Candidate,Economy,China,Gun Control, Health Care, Immigration, Military, Race, Religion, Trade
Republicans, 320 , 42, 221, 67, 970, 675, 609, 753, 76
Democrats, 105, 9, 57, 58, 36, 558, 551, 58, 44

