Candidate,Economy,China,Gun Control, Health Care, Immigration, Military, Race, Religion, Trade
Donald Trump, 258, 38, 115, 33, 920, 474, 439, 257, 42
Ted Cruz, 62, 4, 106, 34, 50, 201, 170, 496, 34
