Candidate,Economy,China,Gun Control, Health Care, Immigration, Military, Race, Religion, Race
Donald Trump, 60, 5, 17, 36, 13, 421, 186, 26, 26
Ted Cruz, 45, 4, 40, 22, 24, 137, 365, 32, 18
