Candidate,Economy,China,Gun Control, Health Care, Immigration, Military, Race, Religion,Trade
Bernie Sanders, 60, 5, 17, 36, 13, 421, 186, 26, 26
Hillary Clinton, 45, 4, 40, 22, 24, 137, 365, 32, 18
